target_id	length	eff_length	est_counts	tpm
lcl|NC_007481.1_cds_WP_041454303.1_1	1383	1179.98	17481	400.319
lcl|NC_007481.1_cds_WP_011326734.1_2	1104	918.481	1872	55.0746
lcl|NC_007481.1_cds_WP_011326735.1_3	1095	882.17	2482	76.0265
lcl|NC_007481.1_cds_WP_011326736.1_4	2427	2228.33	46295	561.398
lcl|NC_007481.1_cds_WP_011326737.1_5	903	721.874	3620	135.507
lcl|NC_007481.1_cds_WP_011326738.1_6	2070	1908.68	5832	82.5657
lcl|NC_007481.1_cds_WP_011326739.1_7	453	269.058	2848	286.029
lcl|NC_007481.1_cds_WP_011326740.1_8	954	726.318	2210	82.2207
lcl|NC_007481.1_cds_WP_011326741.1_9	240	85.1478	2957	938.412
lcl|NC_007481.1_cds_WP_011326742.1_10	1170	1028.65	7028	184.621
lcl|NC_007481.1_cds_WP_011326743.1_11	2160	1982.62	31455	428.712
lcl|NC_007481.1_cds_WP_011326744.1_12	1887	1723.19	7100	111.338
lcl|NC_007481.1_cds_WP_011326745.1_13	1323	1156.71	17960	419.565
lcl|NC_007481.1_cds_WP_041454304.1_14	615	425.686	603	38.2775
lcl|NC_007481.1_cds_WP_011326747.1_15	1452	1270.96	2692	57.2345
lcl|NC_007481.1_cds_WP_011326748.1_16	672	491.594	3296	181.174
lcl|NC_007481.1_cds_WP_011326749.1_17	213	65.5508	39537.8	16298.6
lcl|NC_007481.1_cds_WP_011326750.1_18	213	65.5508	11958.2	4929.5
lcl|NC_007481.1_cds_WP_011326751.1_19	213	65.5508	1349	556.095
lcl|NC_007481.1_cds_WP_011326752.1_20	1377	1210.09	1741	38.8775
lcl|NC_007481.1_cds_WP_011326753.1_21	1296	1133.14	4269	101.802
lcl|NC_007481.1_cds_WP_011326754.1_22	966	809.197	1659	55.3997
lcl|NC_007481.1_cds_WP_011326755.1_23	504	326.59	1996	165.148
lcl|NC_007481.1_cds_WP_011326756.1_24	1122	937.838	2670	76.9306
lcl|NC_007481.1_cds_WP_011326757.1_25	1089	914.92	1294	38.2179
lcl|NC_007481.1_cds_WP_011326758.1_26	474	292.179	415	38.3808
lcl|NC_007481.1_cds_WP_011326759.1_27	576	404.039	1837	122.858
lcl|NC_007481.1_cds_WP_011326760.1_28	564	383.928	881	62.0072
lcl|NC_007481.1_cds_WP_041454628.1_29	951	769.241	2885	101.344
lcl|NC_007481.1_cds_WP_011326762.1_30	438	248.749	923	100.267
lcl|NC_007481.1_cds_WP_011326763.1_31	825	636.457	2674	113.529
lcl|NC_007481.1_cds_WP_011326764.1_32	255	96.7478	537	149.985
lcl|NC_007481.1_cds_WP_011326765.1_33	540	349.298	995	76.9738
lcl|NC_007481.1_cds_WP_011326766.1_34	933	750.132	1437	51.7648
lcl|NC_007481.1_cds_WP_011326767.1_35	900	732.491	878	32.3898
lcl|NC_007481.1_cds_WP_011326768.1_36	1722	1510.36	1535	27.4628
lcl|NC_007481.1_cds_WP_011326769.1_37	414	222.116	1517	184.553
lcl|NC_007481.1_cds_WP_011326770.1_38	693	515.124	3027	158.787
lcl|NC_007481.1_cds_WP_011326771.1_39	639	455.051	2228	132.303
lcl|NC_007481.1_cds_WP_041454305.1_40	321	152.617	178	31.5162
lcl|NC_007481.1_cds_WP_011326773.1_41	186	48.0145	125	70.3482
lcl|NC_007481.1_cds_WP_011326774.1_42	405	242.434	3196	356.228
lcl|NC_007481.1_cds_WP_011326775.1_43	522	325.482	17495	1452.46
lcl|NC_007481.1_cds_WP_011326776.1_44	1377	1226.01	10667	235.107
lcl|NC_007481.1_cds_WP_011326777.1_45	591	393.636	505	34.6667
lcl|NC_007481.1_cds_WP_011326778.1_46	1140	943.537	1010	28.9253
lcl|NC_007481.1_cds_WP_011326779.1_47	1371	1192.74	2596	58.8131
lcl|NC_007481.1_cds_WP_011326780.1_48	2718	2460.08	2023	22.221
lcl|NC_007481.1_cds_WP_011326781.1_49	456	269.583	535	53.6262
lcl|NC_007481.1_cds_WP_011326782.1_50	1170	982.208	1390	38.2408
lcl|NC_007481.1_cds_WP_011326783.1_51	1125	938.922	1131	32.5498
lcl|NC_007481.1_cds_WP_011326784.1_52	489	310.09	1622	141.345
lcl|NC_007481.1_cds_WP_011326785.1_54	930	730.523	953	35.2513
lcl|NC_007481.1_cds_WP_041454630.1_55	1443	1279.88	1991	42.0355
lcl|NC_007481.1_cds_WP_011326787.1_56	795	603.618	13476	603.274
lcl|NC_007481.1_cds_WP_007579801.1_57	186	48.0145	1303	733.31
lcl|NC_007481.1_cds_WP_011326789.1_58	492	320.034	3641	307.426
