Organism Name	GenBank Accession	Superkingdom	Temperature Range	Pathogenic	Oxygen Requirement	Salinity	Habitat	Average tAI									
Acaryochloris marina MBIC11017	CP000828	Bacteria	Mesophilic	No	Aerobic		Aquatic	0.4599575									
Acholeplasma laidlawii PG 8A	CP000896	Bacteria	Mesophilic		Facultative	Non-halophilic	Specialized	0.3955801									
Acidothermus cellulolyticus 11B	CP000481	Bacteria	Thermophilic	No	Aerobic		Aquatic	0.7149595									
Acidovorax avenae citrulli AAC00-1	CP000512	Bacteria	Mesophilic	Fruit	Aerobic	Non-halophilic	Multiple	0.4269779									
Acidovorax JS42	CP000539	Bacteria	Mesophilic	No	Aerobic		Terrestrial	0.3931645									
Aciduliprofundum boonei T469 uid43333	CP001941	Archaea	Thermophilic	No	Anaerobic	Mesophilic	Specialized	0.605103									
Acinetobacter baumannii 1656-2	CP001921	Bacteria	Mesophilic	Human	Aerobic		Aquatic	0.2122									
Acinetobacter baumannii ATCC 17978	CP000521	Bacteria	Mesophilic	Human	Aerobic		Multiple	0.2518077									
Acinetobacter baumannii AYE	CU459141	Bacteria	Mesophilic	Human	Aerobic		Aquatic	0.2158493									
Acinetobacter baumannii SDF	CU468230	Bacteria	Mesophilic	Human	Aerobic	Non-halophilic	Aquatic	0.2132439									
Acinetobacter sp ADP1	CR543861	Bacteria	Mesophilic	Human	Aerobic	Non-halophilic	Multiple	0.2266677									
Actinobacillus pleuropneumoniae L20	CP000569	Bacteria	Mesophilic	Porcine	Facultative	Non-halophilic	Host-associated	0.363621									
Actinobacillus pleuropneumoniae serovar 3 JL03	CP000687	Bacteria		Porcine	Facultative	Mesophilic	Host-associated	0.290757									
Actinobacillus succinogenes 130Z	CP000746	Bacteria	Mesophilic	No		Non-halophilic	Host-associated	0.3338829									
Aeromonas hydrophila ATCC 7966	CP000462	Bacteria	Mesophilic	Animal	Facultative		Multiple	0.278931									
Aeromonas salmonicida A449	CP000644	Bacteria	Mesophilic	Fish	Facultative		Aquatic	0.3265073									
Aeropyrum pernix	BA000002	Archaea	Hyperthermophilic	No	Aerobic	Mesophilic	Specialized	0.4015915									
Alcanivorax borkumensis SK2	AM286690	Bacteria	Mesophilic	No	Aerobic	Moderate halophilic	Aquatic	0.4123278									
Alkalilimnicola ehrlichei MLHE-1	CP000453	Bacteria		No	Facultative		Aquatic	0.550214									
Alkaliphilus oremlandii OhILAs	CP000853	Bacteria	Mesophilic	No	Anaerobic		Aquatic	0.3866602									
Anabaena variabilis ATCC 29413	CP000117	Bacteria		No	Aerobic		Multiple	0.2092423									
Anaeromyxobacter dehalogenans 2CP 1	CP001359	Bacteria	Mesophilic	No	Facultative		Terrestrial	0.5754971									
Anaeromyxobacter Fw109-5	CP000769	Bacteria		No	Anaerobic		Terrestrial	0.2385592									
Anaeromyxobacter K	CP001131	Bacteria	Mesophilic	No	Anaerobic	Non-halophilic	Terrestrial	0.5084417									
Anaplasma marginale St Maries	CP000030	Bacteria		Cattle	Aerobic		Host-associated	0.5310032									
Anaplasma phagocytophilum HZ	CP000235	Bacteria	Mesophilic	"Human, Animal"	Aerobic		Host-associated	0.5057299									
Aquifex aeolicus	AE000657	Bacteria	Hyperthermophilic	No	Aerobic		Specialized	0.4082397									
Archaeoglobus fulgidus	AE000782	Archaea	Hyperthermophilic	No	Anaerobic		Aquatic	0.6904137									
Archaeoglobus profundus DSM 5631 uid43493	CP001857	Archaea	Hyperthermophilic	No	Anaerobic		Specialized	0.3849534									
Arcobacter butzleri RM4018	CP000361	Bacteria	Mesophilic	Human	Aerobic		Multiple	0.2894808									
Arthrobacter aurescens TC1	CP000474	Bacteria	Mesophilic	No	Aerobic	Non-halophilic	Terrestrial	0.3966626									
Aster yellows witches-broom phytoplasma AYWB	CP000061	Bacteria	Mesophilic	Plant	Aerobic		Host-associated	0.3879517									
Azoarcus BH72	AM406670	Bacteria	Mesophilic	No	Microaerophilic		Host-associated	0.33812									
Azoarcus sp EbN1	AP012304	Bacteria	Mesophilic	No	Facultative	Non-halophilic	Terrestrial	0.3082962									
Azorhizobium caulinodans ORS 571	AP009384	Bacteria					Host-associated	0.4198447									
Bacillus amyloliquefaciens FZB42	CP000560	Bacteria	Mesophilic	No	Aerobic		Terrestrial	0.3146893									
Bacillus anthracis Ames	AE016879	Bacteria	Mesophilic	Animal	Facultative		Multiple	0.3049325									
Bacillus anthracis Ames 0581	AE017334	Bacteria	Mesophilic	Animal	Facultative		Terrestrial	0.3052453									
Bacillus anthracis str Sterne	AE017225	Bacteria	Mesophilic	Animal	Facultative		Multiple	0.3043252									
Bacillus cereus ATCC 10987	AE017194	Bacteria	Mesophilic	Human	Aerobic		Terrestrial	0.3154977									
Bacillus cereus ATCC14579	AE016877	Bacteria	Mesophilic	Human	Aerobic		Terrestrial	0.348003									
Bacillus cereus ZK	CP000001	Bacteria	Mesophilic	"Human, Animal"	Aerobic		Terrestrial	0.3301841									
Bacillus halodurans	BA000004	Bacteria	Mesophilic	No	Facultative		Multiple	0.3070831									
Bacillus licheniformis ATCC 14580	CP000002	Bacteria	Mesophilic	Human	Facultative		Terrestrial	0.2691911									
Bacillus licheniformis DSM 13	AE017333	Bacteria	Mesophilic	Human	Facultative		Terrestrial	0.2691818									
Bacillus pumilus SAFR-032	CP000813	Bacteria	Mesophilic	No	Aerobic		Terrestrial	0.2493983									
Bacillus thuringiensis Al Hakam	CP000485	Bacteria	Mesophilic	Insect	Facultative		Multiple	0.3447601									
Bacillus thuringiensis konkukian	AE017355	Bacteria	Mesophilic	Insect	Facultative		Multiple	0.3454662									
Bacillus weihenstephanensis KBAB4	CP000903	Bacteria	Mesophilic	Human	Aerobic	Non-halophilic	Terrestrial	0.3461335									
Bacteroides fragilis NCTC 9434	CR626927	Bacteria	Mesophilic	Human	Anaerobic		Host-associated	0.2367709									
Bacteroides thetaiotaomicron VPI-5482	AE015928	Bacteria	Mesophilic	Mammal	Anaerobic		Host-associated	0.2821955									
Bacteroides vulgatus ATCC 8482	CP000139	Bacteria	Mesophilic	Mammal	Anaerobic		Host-associated	0.2205206									
Bartonella bacilliformis KC583	CP000524	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.3935385									
Bartonella henselae Houston-1	BX897699	Bacteria	Mesophilic	"Human, Animal"	Aerobic		Host-associated	0.3819385									
Bartonella quintana Toulouse	BX897700	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.3819719									
Bartonella tribocorum CIP 105476	AM260525	Bacteria	Mesophilic	Rat	Aerobic		Host-associated	0.3810355									
Bdellovibrio bacteriovorus	CP002930	Bacteria	Mesophilic	Gram-negative bacteria	Aerobic		Multiple	0.3813655									
Bifidobacterium adolescentis ATCC 15703	AP009256	Bacteria	Mesophilic	No	Anaerobic	Non-halophilic	Host-associated	0.4155698									
Bifidobacterium longum	AE014295	Bacteria	Mesophilic	No	Anaerobic	Non-halophilic	Host-associated	0.4375529									
Bordetella avium 197N	AM167904	Bacteria		Animal	Aerobic		Host-associated	0.4284511									
Bordetella petrii	AM902716	Bacteria	Mesophilic	No	Anaerobic		Aquatic	0.3781446									
Borrelia afzelii PKo	CP000395	Bacteria	Mesophilic	Human	Aerobic	Non-halophilic	Host-associated	0.3641721									
Borrelia burgdorferi	AE000783	Bacteria	Mesophilic	Human	Microaerophilic		Host-associated	0.3621078									
Borrelia garinii PBi	CP000013	Bacteria	Mesophilic	Human			Host-associated	0.3619784									
Bradyrhizobium BTAi1	CP000494	Bacteria	Mesophilic		Aerobic		Host-associated	0.5601008									
Bradyrhizobium japonicum	BA000040	Bacteria	Mesophilic	No	Aerobic		Host-associated	0.3359806									
Bradyrhizobium ORS278	CU234118	Bacteria	Mesophilic	No			Host-associated	0.494517									
Brucella melitensis M28	CP002459	Bacteria	Mesophilic	"Human, Animal"	Aerobic		Host-associated	0.3924047									
Brucella melitensis ATCC 23457	CP001488	Bacteria	Mesophilic	"Human, Animal"	Facultative		Host-associated	0.3903679									
Brucella ovis	CP000708	Bacteria	Mesophilic	Sheep	Facultative		Host-associated	0.3676171									
Brucella suis 1330	CP002997	Bacteria	Mesophilic	"Human, Animal"	Aerobic		Host-associated	0.3882912									
Brucella suis ATCC 23445	CP000911	Bacteria	Mesophilic	"Human, Animal"	Aerobic		Host-associated	0.3760878									
Buchnera aphidicola Cc Cinara cedri	CP000263	Bacteria	Mesophilic	No			Host-associated	0.6480525									
Buchnera aphidicola Sg	AE013218	Bacteria	Mesophilic	No			Host-associated	0.6454799									
Buchnera sp	BA000003	Bacteria	Mesophilic	No			Host-associated	0.6439683									
Burkholderia 383	CP000152	Bacteria		Human	Facultative		Multiple	0.3322719									
Burkholderia ambifaria MC40 6	CP001025	Bacteria	Mesophilic	Human		Non-halophilic	Multiple	0.3347083									
Burkholderia cepacia AMMD	CP003774	Bacteria	Mesophilic		Facultative		Multiple	0.3674675									
Burkholderia mallei ATCC 23344	CP000010	Bacteria	Mesophilic	"Human, Animal"			Host-associated	0.3270717									
Burkholderia mallei NCTC 10229	CP000546	Bacteria	Mesophilic	"Human, Animal"			Host-associated	0.3303292									
Burkholderia mallei NCTC 10247	CP000548	Bacteria	Mesophilic	"Human, Animal"			Host-associated	0.31266									
Burkholderia mallei SAVP1	CP000526	Bacteria	Mesophilic	"Human, Animal"			Host-associated	0.2415184									
Burkholderia pseudomallei 1106a	CP000572	Bacteria	Mesophilic	Animal	Aerobic		Terrestrial	0.3511736									
Burkholderia pseudomallei 1710b	CP000124	Bacteria	Mesophilic	Animal	Aerobic		Terrestrial	0.3509364									
Burkholderia pseudomallei 668	CP000570	Bacteria	Mesophilic	Animal	Aerobic		Terrestrial	0.3567708									
Burkholderia pseudomallei K96243	BX571965	Bacteria	Mesophilic	Animal	Aerobic		Terrestrial	0.3829868									
Burkholderia thailandensis E264	CP000086	Bacteria	Mesophilic		Aerobic		Terrestrial	0.3737706									
Burkholderia vietnamiensis G4	CP000614	Bacteria		Human	Facultative		Multiple	0.3297116									
Burkholderia xenovorans LB400	CP000270	Bacteria	Mesophilic	"Human, Plants"	Aerobic		Multiple	0.2132819									
Caldicellulosiruptor saccharolyticus DSM 8903	CP000679	Bacteria	Thermophilic	No	Anaerobic		Specialized	0.3958774									
Caldivirga maquilingensis IC-167	CP000852	Archaea	Hyperthermophilic	No	Microaerophilic		Specialized	0.3210427									
Campylobacter concisus 13826	CP000792	Bacteria	Mesophilic	Human	Microaerophilic		Host-associated	0.3037233									
Campylobacter curvus 525 92	CP000767	Bacteria	Mesophilic	Human	Microaerophilic		Host-associated	0.2960584									
Campylobacter fetus 82-40	CP000487	Bacteria		"Human, Animal"	Microaerophilic		Host-associated	0.3792585									
Campylobacter hominis ATCC BAA-381	CP000776	Bacteria	Mesophilic	No	Anaerobic		Host-associated	0.2937422									
Campylobacter jejuni	AL111168	Bacteria	Mesophilic	Human	Microaerophilic		Multiple	0.3041609									
Campylobacter jejuni 81116	CP000814	Bacteria	Mesophilic	Human	Microaerophilic		Multiple	0.3044388									
Campylobacter jejuni 81-176	CP000538	Bacteria	Mesophilic	Human	Microaerophilic		Multiple	0.2645965									
Campylobacter jejuni doylei 269 97	CP000768	Bacteria	Mesophilic	Human	Microaerophilic	Non-halophilic	Multiple	0.3063309									
Campylobacter jejuni RM1221	CP000025	Bacteria	Mesophilic	Human	Microaerophilic		Multiple	0.3038651									
Candidatus Azobacteroides pseudotrichonymphae genomovar  CFP2	AP010656	Bacteria	Mesophilic	No			Specialized	0.3607941									
Candidatus Blochmannia floridanus	BX248583	Bacteria	Mesophilic	No			Specialized	0.3242132									
Candidatus Carsonella ruddii PV	AP009180	Bacteria		No			Specialized	0.6426803									
Candidatus Desulfococcus oleovorans Hxd3	CP000859	Bacteria	Mesophilic	No	Anaerobic		Aquatic	0.4283623									
Candidatus Desulforudis audaxviator MP104C	CP000860	Bacteria		No			Specialized	0.4944226									
Candidatus Korarchaeum cryptofilum OPF8	CP000968	Archaea	Thermophilic		Anaerobic		Specialized	0.6559272									
Candidatus Pelagibacter ubique HTCC1062	CP000084	Bacteria	Mesophilic		Aerobic		Aquatic	0.5345361									
Carboxydothermus hydrogenoformans Z-2901	CP000141	Bacteria	Hyperthermophilic	No	Anaerobic		Aquatic	0.3258619									
Caulobacter crescentus	AE005673	Bacteria	Mesophilic	No	Aerobic		Aquatic	0.5458464									
Chlamydia muridarum	AE002160	Bacteria	Mesophilic	"Human, Animal"			Host-associated	0.5436653									
Chlamydia trachomatis 434 Bu	AM884176	Bacteria	Mesophilic	Human			Host-associated	0.5461505									
Chlamydia trachomatis A HAR-13	CP000051	Bacteria	Mesophilic	Human			Host-associated	0.5463272									
Chlamydia trachomatis D UW 3 CX	AE001273	Bacteria	Mesophilic	Human			Host-associated	0.5461395									
Chlamydia trachomatis L2b UCH 1 proctitis	AM884177	Bacteria	Mesophilic	Human			Host-associated	0.5462519									
Chlamydophila abortus S26 3	CR848038	Bacteria	Mesophilic	"Human, Animal"			Host-associated	0.5489093									
Chlamydophila caviae	AE015925	Bacteria	Mesophilic	"Human, Animal"			Host-associated	0.5467286									
