Prokaryote Name	Tax ID	Average CAI	Median CAI	Coefficient of Variation (of CAI)	Nc Difference	Average Nc	Salinity	Oxygen Requirment	Habitat	Temp. Range	Pathogenic	Present in the trimmed list	Super Kingdom	GC content (%)
 Nostoc azollae  0708 uid49725	551115	0.733039127	0.734	0.048738347	-0.054388483	48.21506772		Aerobic	Multiple	Mesophilic		Yes	Bacteria	0.383736668
Acaryochloris marina MBIC11017	329726	0.735618125	0.739	0.044133496	0.057045528	53.62107108		Aerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.469558929
Acetobacter pasteurianus IFO 3283 01	634452	0.562232641	0.554	0.129620459	0.165552181	47.87895168		Aerobic	Multiple	Mesophilic		Yes	Bacteria	0.530995144
Acholeplasma laidlawii PG 8A	441768	0.631606324	0.625	0.10906547	0.054523452	39.618	Non-halophilic	Facultative	Specialized	Mesophilic		Yes	Bacteria	0.319277591
Acidaminococcus fermentans DSM 20731 uid43471	591001	0.677834667	0.694	0.140498727	-0.028303293	37.4331616		Anaerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.558427037
Acidimicrobium ferrooxidans DSM 10331	525909	0.674603505	0.678	0.08104806	0.018404537	37.92378039		Anaerobic	Specialized	Thermophilic	No	Yes	Bacteria	0.682893321
Acidiphilium cryptum JF-5	349163	0.62518534	0.654	0.220005398	0.122985575	36.93607479		Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.670952643
Acidithiobacillus ferrooxidans ATCC 23270	243159	0.716212916	0.725	0.081581232	-0.004851992	47.12009198		Facultative	Multiple	Mesophilic	No	No	Bacteria	0.587724572
Acidithiobacillus ferrooxidans ATCC 53993	380394	0.732023771	0.739	0.069772675	-0.036077479	46.85336906		Aerobic	Specialized	Mesophilic	No	Yes	Bacteria	0.5885049
Acidobacteria bacterium Ellin345	204669	0.57872931	0.582	0.109487039	0.125266322	44.63855159		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.583838433
Acidobacterium capsulatum ATCC 51196	240015	0.598171362	0.607	0.163442703	0.104333844	41.57513855		Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.604970107
Acidothermus cellulolyticus 11B	351607	0.632365243	0.639	0.097892241	0.098860038	41.62727982		Aerobic	Aquatic	Thermophilic	No	Yes	Bacteria	0.669073557
Acidovorax avenae citrulli AAC00-1	397945	0.597155605	0.605	0.189096267	0.064573325	33.82419843	Non-halophilic	Aerobic	Multiple	Mesophilic	Fruit	Yes	Bacteria	0.685323044
Acidovorax JS42	232721	0.623233195	0.635	0.172686333	0.012123445	35.1372332		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.660875513
