Refseq	taxid
GCF_000005845.2_ASM584v2_genomic.gff	511145
GCF_000005845.2_ASM584v2_genomic.gff	511145
GCF_000006605.1_ASM660v1_genomic.gff	306537
GCF_000006605.1_ASM660v1_genomic.gff	306537
GCF_000006625.1_ASM662v1_genomic.gff	273119
GCF_000006665.1_ASM666v1_genomic.gff	155864
GCF_000006665.1_ASM666v1_genomic.gff	155864
GCF_000006685.1_ASM668v1_genomic.gff	243161
GCF_000006685.1_ASM668v1_genomic.gff	243161
GCF_000006725.1_ASM672v1_genomic.gff	160492
GCF_000006725.1_ASM672v1_genomic.gff	160492
GCF_000006725.1_ASM672v1_genomic.gff	160492
GCF_000006745.1_ASM674v1_genomic.gff	243277
GCF_000006745.1_ASM674v1_genomic.gff	243277
GCF_000006765.1_ASM676v1_genomic.gff	208964
GCF_000006785.2_ASM678v2_genomic.gff	160490
GCF_000006805.1_ASM680v1_genomic.gff	64091
GCF_000006805.1_ASM680v1_genomic.gff	64091
GCF_000006805.1_ASM680v1_genomic.gff	64091
GCF_000006825.1_ASM682v1_genomic.gff	272843
GCF_000006845.1_ASM684v1_genomic.gff	242231
GCF_000006865.1_ASM686v1_genomic.gff	272623
GCF_000006885.1_ASM688v1_genomic.gff	170187
GCF_000006905.1_ASM690v1_genomic.gff	190650
GCF_000006925.2_ASM692v2_genomic.gff	198214
GCF_000006925.2_ASM692v2_genomic.gff	198214
GCF_000006945.2_ASM694v2_genomic.gff	99287
GCF_000006945.2_ASM694v2_genomic.gff	99287
GCF_000006965.1_ASM696v1_genomic.gff	266834
GCF_000006965.1_ASM696v1_genomic.gff	266834
GCF_000006965.1_ASM696v1_genomic.gff	266834
GCF_000007005.1_ASM700v1_genomic.gff	273057
GCF_000007025.1_ASM702v1_genomic.gff	272944
GCF_000007045.1_ASM704v1_genomic.gff	171101
GCF_000007065.1_ASM706v1_genomic.gff	192952
GCF_000007105.1_ASM710v1_genomic.gff	264203
GCF_000007145.1_ASM714v1_genomic.gff	190485
GCF_000007165.1_ASM716v1_genomic.gff	190486
GCF_000007165.1_ASM716v1_genomic.gff	190486
GCF_000007165.1_ASM716v1_genomic.gff	190486
GCF_000007185.1_ASM718v1_genomic.gff	190192
GCF_000007225.1_ASM722v1_genomic.gff	178306
GCF_000007245.1_ASM724v1_genomic.gff	183190
GCF_000007245.1_ASM724v1_genomic.gff	183190
GCF_000007265.1_ASM726v1_genomic.gff	208435
GCF_000007285.1_ASM728v1_genomic.gff	186103
GCF_000007305.1_ASM730v1_genomic.gff	186497
GCF_000007345.1_ASM734v1_genomic.gff	188937
GCF_000007365.1_ASM736v1_genomic.gff	198804
GCF_000007405.1_ASM740v1_genomic.gff	198215
GCF_000007425.1_ASM742v1_genomic.gff	198466
GCF_000007445.1_ASM744v1_genomic.gff	199310
GCF_000007465.2_ASM746v2_genomic.gff	210007
GCF_000007485.1_ASM748v1_genomic.gff	203267
GCF_000007525.1_ASM752v1_genomic.gff	206672
GCF_000007525.1_ASM752v1_genomic.gff	206672
GCF_000007545.1_ASM754v1_genomic.gff	209261
GCF_000007565.2_ASM756v2_genomic.gff	160488
GCF_000007585.1_ASM758v1_genomic.gff	242619
GCF_000007605.1_ASM760v1_genomic.gff	227941
GCF_000007605.1_ASM760v1_genomic.gff	227941
GCF_000007625.1_ASM762v1_genomic.gff	212717
GCF_000007625.1_ASM762v1_genomic.gff	212717
GCF_000007645.1_ASM764v1_genomic.gff	176280
GCF_000007645.1_ASM764v1_genomic.gff	176280
GCF_000007645.1_ASM764v1_genomic.gff	176280
GCF_000007645.1_ASM764v1_genomic.gff	176280
GCF_000007645.1_ASM764v1_genomic.gff	176280
GCF_000007645.1_ASM764v1_genomic.gff	176280
GCF_000007645.1_ASM764v1_genomic.gff	176280
GCF_000007665.1_ASM766v1_genomic.gff	281090
GCF_000007685.1_ASM768v1_genomic.gff	267671
GCF_000007685.1_ASM768v1_genomic.gff	267671
GCF_000007705.1_ASM770v1_genomic.gff	243365
GCF_000007745.1_ASM774v1_genomic.gff	221988
GCF_000007765.2_ASM776v2_genomic.gff	227377
GCF_000007765.2_ASM776v2_genomic.gff	227377
GCF_000007785.1_ASM778v1_genomic.gff	226185
GCF_000007785.1_ASM778v1_genomic.gff	226185
GCF_000007785.1_ASM778v1_genomic.gff	226185
GCF_000007785.1_ASM778v1_genomic.gff	226185
GCF_000007805.1_ASM780v1_genomic.gff	223283
GCF_000007805.1_ASM780v1_genomic.gff	223283
GCF_000007805.1_ASM780v1_genomic.gff	223283
GCF_000007825.1_ASM782v1_genomic.gff	226900
GCF_000007825.1_ASM782v1_genomic.gff	226900
GCF_000007845.1_ASM784v1_genomic.gff	198094
GCF_000007865.1_ASM786v1_genomic.gff	262316
GCF_000007885.1_ASM788v1_genomic.gff	229193
GCF_000007885.1_ASM788v1_genomic.gff	229193
GCF_000007885.1_ASM788v1_genomic.gff	229193
GCF_000007885.1_ASM788v1_genomic.gff	229193
GCF_000007885.1_ASM788v1_genomic.gff	229193
GCF_000007905.1_ASM790v1_genomic.gff	235279
GCF_000007925.1_ASM792v1_genomic.gff	167539
GCF_000007945.1_ASM794v1_genomic.gff	233412
GCF_000007985.2_ASM798v2_genomic.gff	243231
GCF_000008005.1_ASM800v1_genomic.gff	222523
GCF_000008005.1_ASM800v1_genomic.gff	222523
GCF_000008025.1_ASM802v1_genomic.gff	163164
GCF_000008045.1_ASM804v1_genomic.gff	257363
GCF_000008065.1_ASM806v1_genomic.gff	257314
GCF_000008105.1_ASM810v1_genomic.gff	321314
GCF_000008105.1_ASM810v1_genomic.gff	321314
GCF_000008105.1_ASM810v1_genomic.gff	321314
GCF_000008125.1_ASM812v1_genomic.gff	262724
GCF_000008125.1_ASM812v1_genomic.gff	262724
GCF_000008165.1_ASM816v1_genomic.gff	260799
GCF_000008185.1_ASM818v1_genomic.gff	243275
GCF_000008205.1_ASM820v1_genomic.gff	262719
GCF_000008225.1_ASM822v1_genomic.gff	262722
GCF_000008245.1_ASM824v1_genomic.gff	262723
GCF_000008265.1_ASM826v1_genomic.gff	263820
GCF_000008285.1_ASM828v1_genomic.gff	265669
GCF_000008305.1_ASM830v1_genomic.gff	265311
GCF_000008325.1_ASM832v1_genomic.gff	243233
GCF_000008345.1_ASM834v1_genomic.gff	267747
GCF_000008365.1_ASM836v1_genomic.gff	267748
GCF_000008385.1_ASM838v1_genomic.gff	292805
GCF_000008405.1_ASM840v1_genomic.gff	295358
GCF_000008425.1_ASM842v1_genomic.gff	279010
GCF_000008445.1_ASM844v1_genomic.gff	261594
GCF_000008445.1_ASM844v1_genomic.gff	261594
GCF_000008445.1_ASM844v1_genomic.gff	261594
GCF_000008465.1_ASM846v1_genomic.gff	283942
GCF_000008485.1_ASM848v1_genomic.gff	272624
GCF_000008505.1_ASM850v1_genomic.gff	281309
GCF_000008505.1_ASM850v1_genomic.gff	281309
GCF_000008545.1_ASM854v1_genomic.gff	243274
GCF_000008565.1_ASM856v1_genomic.gff	243230
GCF_000008565.1_ASM856v1_genomic.gff	243230
GCF_000008565.1_ASM856v1_genomic.gff	243230
GCF_000008565.1_ASM856v1_genomic.gff	243230
GCF_000008585.1_ASM858v1_genomic.gff	83331
GCF_000008605.1_ASM860v1_genomic.gff	243276
GCF_000008625.1_ASM862v1_genomic.gff	224324
GCF_000008625.1_ASM862v1_genomic.gff	224324
GCF_000008645.1_ASM864v1_genomic.gff	187420
GCF_000008665.1_ASM866v1_genomic.gff	224325
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008685.2_ASM868v2_genomic.gff	224326
GCF_000008725.1_ASM872v1_genomic.gff	272561
GCF_000008765.1_ASM876v1_genomic.gff	272562
GCF_000008765.1_ASM876v1_genomic.gff	272562
GCF_000008785.1_ASM878v1_genomic.gff	85963
GCF_000008805.1_ASM880v1_genomic.gff	122586
GCF_000008865.2_ASM886v2_genomic.gff	386585
GCF_000008865.2_ASM886v2_genomic.gff	386585
GCF_000008865.2_ASM886v2_genomic.gff	386585
GCF_000008925.1_ASM892v1_genomic.gff	362948
GCF_000008925.1_ASM892v1_genomic.gff	362948
GCF_000008925.1_ASM892v1_genomic.gff	362948
GCF_000008925.1_ASM892v1_genomic.gff	362948
GCF_000008985.1_ASM898v1_genomic.gff	177416
GCF_000009005.1_ASM900v1_genomic.gff	273036
GCF_000009025.1_ASM902v1_genomic.gff	255470
GCF_000009065.1_ASM906v1_genomic.gff	214092
GCF_000009065.1_ASM906v1_genomic.gff	214092
GCF_000009065.1_ASM906v1_genomic.gff	214092
GCF_000009065.1_ASM906v1_genomic.gff	214092
GCF_000009085.1_ASM908v1_genomic.gff	192222
GCF_000009105.1_ASM910v1_genomic.gff	122587
GCF_000009125.1_ASM912v1_genomic.gff	267608
GCF_000009125.1_ASM912v1_genomic.gff	267608
GCF_000009145.1_ASM914v1_genomic.gff	228410
GCF_000009165.1_ASM916v1_genomic.gff	316273
GCF_000009165.1_ASM916v1_genomic.gff	316273
GCF_000009165.1_ASM916v1_genomic.gff	316273
GCF_000009165.1_ASM916v1_genomic.gff	316273
GCF_000009165.1_ASM916v1_genomic.gff	316273
GCF_000009185.1_ASM918v1_genomic.gff	362976
GCF_000009185.1_ASM918v1_genomic.gff	362976
GCF_000009205.1_ASM920v1_genomic.gff	272563
GCF_000009205.1_ASM920v1_genomic.gff	272563
GCF_000009205.2_ASM920v2_genomic.gff	272563
GCF_000009205.2_ASM920v2_genomic.gff	272563
GCF_000009265.1_ASM926v1_genomic.gff	216596
GCF_000009265.1_ASM926v1_genomic.gff	216596
GCF_000009265.1_ASM926v1_genomic.gff	216596
GCF_000009265.1_ASM926v1_genomic.gff	216596
GCF_000009265.1_ASM926v1_genomic.gff	216596
GCF_000009265.1_ASM926v1_genomic.gff	216596
GCF_000009265.1_ASM926v1_genomic.gff	216596
GCF_000009305.1_ASM930v1_genomic.gff	382638
