Locus,CDS,ProteinID,uniprot_id,Gene,Mean.tpm
b0001,lcl|NC_000913.3_cds_NP_414542.1_1,NP_414542.1,P0AD86,thrL,465.55520617860134
b0019,lcl|NC_000913.3_cds_NP_414560.1_19,NP_414560.1,P13738,nhaA,37.82723886302038
b0023,lcl|NC_000913.3_cds_NP_414564.1_23,NP_414564.1,P0A7U7,rpsT,5213.21341880419
b0025,lcl|NC_000913.3_cds_NP_414566.1_25,NP_414566.1,P0AG40,ribF,51.553855335949414
b0026,lcl|NC_000913.3_cds_NP_414567.1_26,NP_414567.1,P00956,ileS,294.59831975080914
b0027,lcl|NC_000913.3_cds_NP_414568.1_27,NP_414568.1,P00804,lspA,53.08304814156776
b0028,lcl|NC_000913.3_cds_NP_414569.1_28,NP_414569.1,P0AEM0,fkpB,52.95601948787315
b0029,lcl|NC_000913.3_cds_NP_414570.1_29,NP_414570.1,P62623,ispH,70.95040521378294
b0030,lcl|NC_000913.3_cds_NP_414571.1_30,NP_414571.1,P22564,rihC,41.0407114948072
b0031,lcl|NC_000913.3_cds_NP_414572.1_31,NP_414572.1,P04036,dapB,137.17754918353072
b0032,lcl|NC_000913.3_cds_NP_414573.1_32,NP_414573.1,P0A6F1,carA,25.73713270743266
b0033,lcl|NC_000913.3_cds_NP_414574.1_33,NP_414574.1,P00968,carB,24.451380329134793
b0048,lcl|NC_000913.3_cds_NP_414590.1_48,NP_414590.1,P0ABQ4,folA,155.83703025917814
b0049,lcl|NC_000913.3_cds_NP_414591.1_49,NP_414591.1,P05637,apaH,20.439667316274985
b0051,lcl|NC_000913.3_cds_NP_414593.1_51,NP_414593.1,P06992,rsmA,150.34959261667467
b0052,lcl|NC_000913.3_cds_NP_414594.1_52,NP_414594.1,P19624,pdxA,21.714050750608465
b0053,lcl|NC_000913.3_cds_NP_414595.1_53,NP_414595.1,P0ABZ6,surA,237.29380522887658
b0054,lcl|NC_000913.3_cds_NP_414596.1_54,NP_414596.1,P31554,lptD,125.296169135373
b0055,lcl|NC_000913.3_cds_NP_414597.1_55,NP_414597.1,P31680,djlA,38.093569011054875
b0058,lcl|NC_000913.3_cds_NP_414600.1_58,NP_414600.1,P0AA37,rluA,28.308302669005073
b0059,lcl|NC_000913.3_cds_NP_414601.1_59,NP_414601.1,P60240,rapA,171.76253957135114
b0068,lcl|NC_000913.3_cds_NP_414610.1_68,NP_414610.1,P31550,thiB,13.445445325462451
b0069,lcl|NC_000913.3_cds_NP_414611.1_69,NP_414611.1,P33595,sgrR,13.33566646253572
b0071,lcl|NC_000913.3_cds_NP_414613.1_72,NP_414613.1,P30126,leuD,56.69717806028797
b0072,lcl|NC_000913.3_cds_NP_414614.1_73,NP_414614.1,P0A6A6,leuC,47.69716972735385
b0073,lcl|NC_000913.3_cds_NP_414615.4_74,NP_414615.4,P30125,leuB,45.71104899255757
b0074,lcl|NC_000913.3_cds_NP_414616.1_75,NP_414616.1,P09151,leuA,27.161921876038143
b0080,lcl|NC_000913.3_cds_NP_414622.1_81,NP_414622.1,P0ACP1,cra,69.55213871621773
b0082,lcl|NC_000913.3_cds_NP_414624.1_83,NP_414624.1,P60390,rsmH,78.17442036881377
b0083,lcl|NC_000913.3_cds_NP_414625.1_84,NP_414625.1,P0AEN4,ftsL,27.397080136394106
b0084,lcl|NC_000913.3_cds_NP_414626.1_85,NP_414626.1,P0AD68,ftsI,20.665430070530835
b0085,lcl|NC_000913.3_cds_NP_414627.1_86,NP_414627.1,P22188,murE,75.95195850009392
b0086,lcl|NC_000913.3_cds_NP_414628.1_87,NP_414628.1,P11880,murF,52.00076922507974
b0087,lcl|NC_000913.3_cds_NP_414629.1_88,NP_414629.1,P0A6W3,mraY,40.54368014869889
b0088,lcl|NC_000913.3_cds_NP_414630.1_89,NP_414630.1,P14900,murD,54.53329258352187
b0089,lcl|NC_000913.3_cds_NP_414631.1_90,NP_414631.1,P0ABG4,ftsW,14.95961229444132
b0090,lcl|NC_000913.3_cds_NP_414632.1_91,NP_414632.1,P17443,murG,30.836342195532847
b0091,lcl|NC_000913.3_cds_NP_414633.1_92,NP_414633.1,P17952,murC,95.91496233643626
b0092,lcl|NC_000913.3_cds_NP_414634.1_93,NP_414634.1,P07862,ddlB,64.80570962500141
b0093,lcl|NC_000913.3_cds_NP_414635.1_94,NP_414635.1,P06136,ftsQ,19.061741788199726
b0094,lcl|NC_000913.3_cds_NP_414636.1_95,NP_414636.1,P0ABH0,ftsA,72.15095286966073
b0095,lcl|NC_000913.3_cds_NP_414637.1_96,NP_414637.1,P0A9A6,ftsZ,415.12292155456794
b0096,lcl|NC_000913.3_cds_NP_414638.1_97,NP_414638.1,P0A725,lpxC,395.3020617198954
b0097,lcl|NC_000913.3_cds_NP_414639.2_98,NP_414639.2,P62395,secM,102.79382277160434
b0098,lcl|NC_000913.3_cds_NP_414640.1_99,NP_414640.1,P10408,secA,234.6077364453269
b0099,lcl|NC_000913.3_cds_NP_414641.1_100,NP_414641.1,P08337,mutT,28.00535663047339
b0101,lcl|NC_000913.3_cds_NP_414643.1_101,NP_414643.1,P0A8H8,yacG,124.82595883869669
b0102,lcl|NC_000913.3_cds_NP_414644.1_102,NP_414644.1,P36680,zapD,103.78607806444946
b0103,lcl|NC_000913.3_cds_NP_414645.1_103,NP_414645.1,P0A6I9,coaE,21.845365641252155
b0104,lcl|NC_000913.3_cds_NP_414646.1_105,NP_414646.1,P60560,guaC,191.67584615699485
b0109,lcl|NC_000913.3_cds_NP_414651.1_109,NP_414651.1,P30011,nadC,68.61078632401761
b0110,lcl|NC_000913.3_cds_NP_414652.1_110,NP_414652.1,P13016,ampD,25.697081546354642
b0111,lcl|NC_000913.3_cds_NP_414653.1_111,NP_414653.1,P0AE14,ampE,10.298058069364338
b0112,lcl|NC_000913.3_cds_NP_414654.1_112,NP_414654.1,P15993,aroP,36.407279491881845
b0113,lcl|NC_000913.3_cds_NP_414655.1_113,NP_414655.1,P0ACL9,pdhR,124.57864985622534
b0114,lcl|NC_000913.3_cds_NP_414656.1_114,NP_414656.1,P0AFG8,aceE,3041.4503793420636
b0115,lcl|NC_000913.3_cds_NP_414657.1_115,NP_414657.1,P06959,aceF,2839.684706089744
b0116,lcl|NC_000913.3_cds_NP_414658.1_116,NP_414658.1,P0A9P0,lpd,2264.489180808775
