target_id	length	eff_length	est_counts	tpm
lcl|NC_021214.1_cds_WP_010865024.1_1	1953	1775.71	712.015	121.832
lcl|NC_021214.1_cds_WP_004082436.1_2	1038	836.725	304	110.391
lcl|NC_021214.1_cds_WP_004082444.1_3	1317	1082.02	291	81.7151
lcl|NC_021214.1_cds_WP_004082445.1_4	675	473.814	379	243.038
lcl|NC_021214.1_cds_WP_004082446.1_5	429	245.243	1387	1718.4
lcl|NC_021214.1_cds_WP_004082447.1_6	1824	1818.41	4275	714.312
lcl|NC_021214.1_cds_WP_004082448.1_7	381	208.298	721	1051.71
lcl|NC_021214.1_cds_WP_004082449.1_8	489	320.03	1045	992.129
lcl|NC_021214.1_cds_WP_004082451.1_9	762	554.134	682	373.949
lcl|NC_021214.1_cds_WP_004082453.1_10	837	585.164	511	265.33
lcl|NC_021214.1_cds_WP_004082456.1_11	579	379.161	5800	4647.8
lcl|NC_021214.1_cds_WP_004082458.1_12	300	101.003	2164	6509.77
lcl|NC_021214.1_cds_WP_004082460.1_13	1179	987.748	11768	3619.92
lcl|NC_021214.1_cds_WP_004082462.1_14	975	778.72	12862	5018.46
lcl|NC_021214.1_cds_WP_004082464.1_15	771	637.781	604	287.745
lcl|NC_021214.1_cds_WP_004082466.1_16	384	185	137	225.005
lcl|NC_021214.1_cds_WP_004082468.1_17	309	110.001	73	201.637
lcl|NC_021214.1_cds_WP_004082472.1_18	1533	1321.06	802	184.457
lcl|NC_021214.1_cds_WP_010865030.1_19	1971	1790.65	771.467	130.903
lcl|NC_021214.1_cds_WP_004082477.1_20	1926	1856.04	948	155.19
lcl|NC_021214.1_cds_WP_004082478.1_21	2166	2038.68	1263	188.234
lcl|NC_021214.1_cds_WP_004082479.1_22	207	23.4313	7	90.7706
lcl|NC_021214.1_cds_WP_004082480.1_23	807	589.897	245	126.192
lcl|NC_021214.1_cds_WP_004082481.1_24	993	760.881	469	187.283
lcl|NC_021214.1_cds_WP_004082483.1_25	843	644.312	448	211.264
lcl|NC_021214.1_cds_WP_004082485.1_26	1017	778.902	546	212.987
lcl|NC_021214.1_cds_WP_004082487.1_27	1815	1668.19	10901	1985.47
lcl|NC_021214.1_cds_WP_004082489.1_28	1146	817.318	1123	417.476
lcl|NC_021214.1_cds_WP_227738410.1_29	1170	962.294	1050	331.531
lcl|NC_021214.1_cds_WP_004082494.1_30	1074	866.645	566	198.435
lcl|NC_021214.1_cds_WP_004082496.1_31	1500	1201.57	8101	2048.49
lcl|NC_021214.1_cds_WP_004082498.1_32	525	294.278	395	407.833
lcl|NC_021214.1_cds_WP_004082500.1_33	1251	1013.94	584	175.002
lcl|NC_021214.1_cds_WP_004082502.1_34	363	164	159	294.575
lcl|NC_021214.1_cds_WP_004082504.1_35	780	549.38	454	251.088
lcl|NC_021214.1_cds_WP_004082506.1_36	837	607.327	572	286.165
lcl|NC_021214.1_cds_WP_238581566.1_37	411	209.561	228	330.573
lcl|NC_021214.1_cds_WP_004082509.1_38	1080	853.222	1199	426.973
lcl|NC_021214.1_cds_WP_004082511.1_39	1740	1426.43	719	153.151
lcl|NC_021214.1_cds_WP_004082513.1_40	549	304.076	9308	9300.75
lcl|NC_021214.1_cds_WP_004082515.1_41	219	29.4051	206	2128.57
lcl|NC_021214.1_cds_WP_004082517.1_42	1218	1008.65	401	120.794
lcl|NC_021214.1_cds_WP_233417792.1_43	210	24.7787	25	306.552
lcl|NC_021214.1_cds_WP_010865039.1_44	786	586.147	150	77.7548
lcl|NC_021214.1_cds_WP_004082532.1_45	465	235.686	115	148.254
lcl|NC_021214.1_cds_WP_004082534.1_46	2010	1783.17	1080	184.024
lcl|NC_021214.1_cds_WP_227738411.1_47	321	122	109	271.462
lcl|NC_021214.1_cds_WP_004082539.1_48	1095	806.174	749	282.29
lcl|NC_021214.1_cds_WP_227738412.1_49	426	212.362	261	373.429
lcl|NC_021214.1_cds_WP_004082543.1_50	2025	1728.5	385	67.6759
lcl|NC_021214.1_cds_WP_004082544.1_51	1974	1914.37	413	65.5491
lcl|NC_021214.1_cds_WP_004082545.1_52	1017	810.788	155	58.0854
lcl|NC_021214.1_cds_WP_004082546.1_53	996	751.829	210	84.8678
lcl|NC_021214.1_cds_WP_004082547.1_54	1089	871.532	182	63.4499
lcl|NC_021214.1_cds_WP_004082548.1_55	987	815.007	139	51.8199
lcl|NC_021214.1_cds_WP_004082550.1_56	3180	3088.08	496	48.8019
lcl|NC_021214.1_cds_WP_004082552.1_57	540	349.65	85	73.8632
lcl|NC_021214.1_cds_WP_004082554.1_58	447	204.918	287	425.545
lcl|NC_021214.1_cds_WP_004082556.1_59	1356	1172.59	1549	401.373
lcl|NC_021214.1_cds_WP_004082558.1_60	741	474.541	1580	1011.64
lcl|NC_021214.1_cds_WP_004082560.1_61	612	417.803	944	686.505
lcl|NC_021214.1_cds_WP_004082562.1_62	1020	776.362	763	298.609
lcl|NC_021214.1_cds_WP_004082564.1_63	1620	1360.02	1351	301.824
lcl|NC_021214.1_cds_WP_004082566.1_64	1083	857.856	990	350.642
lcl|NC_021214.1_cds_WP_004082568.1_65	1044	744.487	167	68.1557
lcl|NC_021214.1_cds_WP_004082579.1_66	1878	1647.03	474	87.4419
lcl|NC_021214.1_cds_WP_004082581.1_67	1008	751.445	304	122.919
lcl|NC_021214.1_cds_WP_004082583.1_68	855	646.685	211	99.1362
lcl|NC_021214.1_cds_WP_041426669.1_69	1008	851.51	231	82.4262
lcl|NC_021214.1_cds_WP_004082591.1_70	963	768.178	174	68.8225
lcl|NC_021214.1_cds_WP_004082594.1_71	2337	2262.28	647	86.8963
lcl|NC_021214.1_cds_WP_004082599.1_72	978	834.593	163	59.3411
lcl|NC_021214.1_cds_WP_004082601.1_73	771	576.555	227	119.627
lcl|NC_021214.1_cds_WP_004082603.1_74	969	759.857	197	78.773
lcl|NC_021214.1_cds_WP_004082604.1_75	894	662.259	752	345.011
lcl|NC_021214.1_cds_WP_004082606.1_76	450	236.707	196	251.587
lcl|NC_021214.1_cds_WP_004082608.1_77	915	705.388	386	166.266
lcl|NC_021214.1_cds_WP_004082609.1_78	2577	2367.38	720	92.4076
lcl|NC_021214.1_cds_WP_004082610.1_79	447	222.953	103	140.367
lcl|NC_021214.1_cds_WP_004082612.1_80	279	80.0635	127	481.961
lcl|NC_021214.1_cds_WP_004082614.1_81	1422	1159.16	264	69.1993
lcl|NC_021214.1_cds_WP_004082616.1_82	834	644.968	239	112.591
lcl|NC_021214.1_cds_WP_004082618.1_83	3849	3323.05	2136	195.302
lcl|NC_021214.1_cds_WP_004082621.1_84	462	265.852	167	190.862
lcl|NC_021214.1_cds_WP_004082622.1_85	417	218	126	175.613
lcl|NC_021214.1_cds_WP_227738413.1_86	420	221	145	199.351
lcl|NC_021214.1_cds_WP_010865048.1_87	894	573.618	459	243.127
lcl|NC_021214.1_cds_WP_004082636.1_88	384	185	85	139.602
lcl|NC_021214.1_cds_WP_004082638.1_89	1200	933.541	909	295.851
lcl|NC_021214.1_cds_WP_004082639.1_90	471	252.384	576	693.431
lcl|NC_021214.1_cds_WP_004082642.1_91	921	658.8	563	259.656
lcl|NC_021214.1_cds_WP_010865050.1_92	618	372.387	449	366.349
lcl|NC_021214.1_cds_WP_004082646.1_93	1308	1117.82	787	213.917
lcl|NC_021214.1_cds_WP_004082647.1_94	765	490.883	368	227.779
lcl|NC_021214.1_cds_WP_004082648.1_95	2067	1820.46	1592	265.708
lcl|NC_021214.1_cds_WP_004082649.1_96	1869	1480.78	688	141.17
lcl|NC_021214.1_cds_WP_004082657.1_97	1080	964.263	1169	368.351
lcl|NC_021214.1_cds_WP_010865052.1_98	1524	1293.98	728	170.941
lcl|NC_021214.1_cds_WP_004082660.1_99	1035	918.936	296	97.8699
lcl|NC_021214.1_cds_WP_004082669.1_100	960	859.45	205	72.473
lcl|NC_021214.1_cds_WP_004082671.1_101	1185	908.263	374	125.113
lcl|NC_021214.1_cds_WP_004082673.1_102	573	336.85	879	792.858
lcl|NC_021214.1_cds_WP_004082675.1_103	1266	1032.71	1165	342.759
lcl|NC_021214.1_cds_WP_004082677.1_104	963	711.587	394	168.233
lcl|NC_021214.1_cds_WP_004082680.1_105	1137	877.608	953	329.94
lcl|NC_021214.1_cds_WP_004082682.1_106	1164	1001.83	850	257.791
lcl|NC_021214.1_cds_WP_004082684.1_107	954	837.66	243	88.1417
lcl|NC_021214.1_cds_WP_004082686.1_108	720	461.931	324	213.114
lcl|NC_021214.1_cds_WP_004082691.1_109	972	778.595	1030	401.947
lcl|NC_021214.1_cds_WP_004082693.1_110	1563	1318.4	646	148.878
lcl|NC_021214.1_cds_WP_004082695.1_111	1479	1318.5	697	160.618
lcl|NC_021214.1_cds_WP_004082697.1_112	732	503.158	161	97.2221
lcl|NC_021214.1_cds_WP_004082700.1_113	2484	2265.11	654	87.7265
lcl|NC_021214.1_cds_WP_004082702.1_114	858	749.65	266	107.812
lcl|NC_021214.1_cds_WP_004082703.1_115	555	321.315	204	192.904
lcl|NC_021214.1_cds_WP_227738429.1_116	1092	874.225	1338	465.024
lcl|NC_021214.1_cds_WP_004082705.1_117	366	167	68	123.719
lcl|NC_021214.1_cds_WP_004082706.1_118	804	557.237	169	92.1487
lcl|NC_021214.1_cds_WP_004082707.1_119	723	540.843	203	114.043
lcl|NC_021214.1_cds_WP_004082709.1_120	798	661.36	108	49.6168
lcl|NC_021214.1_cds_WP_015646083.1_121	660	475.15	268	171.375
lcl|NC_021214.1_cds_WP_004082713.1_122	858	577.033	143	75.2972
lcl|NC_021214.1_cds_WP_004082715.1_123	1389	1175.75	1735	448.362
lcl|NC_021214.1_cds_WP_004082717.1_124	1077	868.213	1792	627.126
lcl|NC_021214.1_cds_WP_004082719.1_125	1155	984.673	157	48.4452
