target_id	length	eff_length	est_counts	tpm
lcl|NC_023151.1_cds_WP_004080636.1_1	1323	1083.17	2691	144.494
lcl|NC_023151.1_cds_WP_004080637.1_2	942	683.463	1935	164.663
lcl|NC_023151.1_cds_WP_004080638.1_3	861	599.481	1700	164.932
lcl|NC_023151.1_cds_WP_004080639.1_4	1134	859.769	3340	225.941
lcl|NC_023151.1_cds_WP_015646132.1_5	1497	1347.11	5219	225.328
lcl|NC_023151.1_cds_WP_004080641.1_6	465	205.912	996	281.325
lcl|NC_023151.1_cds_WP_004080642.1_7	1080	884.266	5974	392.929
lcl|NC_023151.1_cds_WP_004080643.1_8	417	212.036	2483	681.081
lcl|NC_023151.1_cds_WP_004080644.1_9	1986	1772.69	21343.7	700.275
lcl|NC_023151.1_cds_WP_004080645.1_10	930	687.9	985	83.2803
lcl|NC_023151.1_cds_WP_004080646.1_11	855	643.549	3605	325.803
lcl|NC_023151.1_cds_WP_004080647.1_12	717	494.94	2722	319.865
lcl|NC_023151.1_cds_WP_004080648.1_13	642	363.538	2119	339.01
lcl|NC_023151.1_cds_WP_004080649.1_14	768	552.909	2424	254.982
lcl|NC_023151.1_cds_WP_004080650.1_15	990	748.196	6192	481.334
lcl|NC_023151.1_cds_WP_004080652.1_16	1032	839.937	5085	352.108
lcl|NC_023151.1_cds_WP_010865219.1_17	777	550.095	2422	256.075
lcl|NC_023151.1_cds_WP_008193133.1_18	1125	892.192	2457	160.169
lcl|NC_023151.1_cds_WP_004080658.1_19	2037	1889.69	3826	117.757
lcl|NC_023151.1_cds_WP_004080660.1_20	1137	814.342	2461	175.767
lcl|NC_023151.1_cds_WP_004080662.1_21	828	566.495	2186	224.432
lcl|NC_023151.1_cds_WP_004080664.1_22	690	468.534	1732	215
lcl|NC_023151.1_cds_WP_004080665.1_23	618	382.675	2105	319.929
lcl|NC_023151.1_cds_WP_004080666.1_24	474	259.861	1779	398.167
lcl|NC_023151.1_cds_WP_004080667.1_25	663	401.778	2003	289.952
lcl|NC_023151.1_cds_WP_008193125.1_26	306	107.001	445	241.882
lcl|NC_023151.1_cds_WP_004080669.1_27	483	271.356	980	210.048
lcl|NC_023151.1_cds_WP_004080671.1_28	666	415.817	1520	212.605
lcl|NC_023151.1_cds_WP_004080673.1_29	231	37.0315	2170	3408.16
lcl|NC_023151.1_cds_WP_004080683.1_30	276	77.0924	4522	3411.54
lcl|NC_023151.1_cds_WP_004080684.1_31	1011	830.279	9934	695.876
lcl|NC_023151.1_cds_WP_004080686.1_32	1461	1242.79	30704	1436.91
lcl|NC_023151.1_cds_WP_008193116.1_33	630	397.127	2246	328.936
lcl|NC_023151.1_cds_WP_004080690.1_34	714	496.039	2094	245.523
lcl|NC_023151.1_cds_WP_004080692.1_35	606	416.318	1982	276.891
lcl|NC_023151.1_cds_WP_004080695.1_36	1035	876.759	3154	209.225
lcl|NC_023151.1_cds_WP_004080697.1_37	1506	1367.38	3631	154.443
lcl|NC_023151.1_cds_WP_004080699.1_38	1131	902.873	2335	150.415
lcl|NC_023151.1_cds_WP_004080702.1_39	609	403.513	999	143.992
lcl|NC_023151.1_cds_WP_004080704.1_40	411	213.124	1127	307.555
lcl|NC_023151.1_cds_WP_004080706.1_41	1932	1742.57	4689	156.502
lcl|NC_023151.1_cds_WP_004080707.1_42	558	352.851	1312	216.259
lcl|NC_023151.1_cds_WP_004080708.1_43	1344	1129.84	1516	78.0393
lcl|NC_023151.1_cds_WP_004080709.1_44	741	542.435	1445	154.936
lcl|NC_023151.1_cds_WP_004080710.1_45	1293	1153.97	6587	331.99
lcl|NC_023151.1_cds_WP_004080711.1_46	915	707.683	5373	441.58
lcl|NC_023151.1_cds_WP_004080712.1_47	1125	912.514	6646	423.596
lcl|NC_023151.1_cds_WP_004080714.1_48	198	19.9132	119	347.566
lcl|NC_023151.1_cds_WP_004080717.1_49	1155	977.798	3736	222.223
lcl|NC_023151.1_cds_WP_004080719.1_50	1290	1103.08	46797	2467.41
lcl|NC_023151.1_cds_WP_004080721.1_51	921	658.494	7465	659.339
lcl|NC_023151.1_cds_WP_004080723.1_52	477	233.763	2535	630.716
lcl|NC_023151.1_cds_WP_004080725.1_53	621	446.37	2325	302.942
lcl|NC_023151.1_cds_WP_004080728.1_54	2379	2087.67	3978	110.824
lcl|NC_023151.1_cds_WP_004080729.1_55	900	611.278	6711	638.527
lcl|NC_023151.1_cds_WP_004080731.1_57	1752	1537.78	4478	169.364
lcl|NC_023151.1_cds_WP_004080734.1_58	954	760.461	13730	1050.09
lcl|NC_023151.1_cds_WP_004080736.1_59	666	480.998	9428	1140.01
lcl|NC_023151.1_cds_WP_004080737.1_60	483	211.697	1982	544.527
lcl|NC_023151.1_cds_WP_004080738.1_61	918	729.975	7950	633.418
lcl|NC_023151.1_cds_WP_004080739.1_62	423	224	2406	624.711
lcl|NC_023151.1_cds_WP_004080741.1_63	843	645.745	4429	398.911
lcl|NC_023151.1_cds_WP_004080743.1_64	450	230.654	2136	538.606
lcl|NC_023151.1_cds_WP_004080744.1_65	1068	883.815	6714	441.826
lcl|NC_023151.1_cds_WP_004080745.1_66	882	681.051	12474	1065.26
lcl|NC_023151.1_cds_WP_004080746.1_67	1398	1205.81	23259	1121.87
lcl|NC_023151.1_cds_WP_004080747.1_68	351	152	6883	2633.69
lcl|NC_023151.1_cds_WP_008193067.1_69	501	301.056	3270	631.729
lcl|NC_023151.1_cds_WP_004080749.1_70	882	629.976	3564	329.037
lcl|NC_023151.1_cds_WP_004080766.1_71	930	701.162	3042	252.332
lcl|NC_023151.1_cds_WP_004080768.1_72	396	197	841	248.291
lcl|NC_023151.1_cds_WP_008193057.1_73	858	614.565	1403	132.776
lcl|NC_023151.1_cds_WP_004080773.1_74	1470	1156.65	4341	218.283
lcl|NC_023151.1_cds_WP_004080774.1_75	1008	826.774	1317	92.6467
lcl|NC_023151.1_cds_WP_004080775.1_76	1017	735.54	3768	297.945
lcl|NC_023151.1_cds_WP_004080776.1_77	519	282.7	3003	617.818
lcl|NC_023151.1_cds_WP_004080777.1_78	1110	951.74	5891	359.999
lcl|NC_023151.1_cds_WP_004080778.1_79	1092	845.866	4966	341.457
lcl|NC_023151.1_cds_WP_024103711.1_80	897	706.52	5627	463.216
lcl|NC_023151.1_cds_WP_004080780.1_81	399	207.612	1482	415.17
lcl|NC_023151.1_cds_WP_004080781.1_82	1368	1115.27	8844	461.212
lcl|NC_023151.1_cds_WP_004080783.1_83	456	256.145	2739	621.924
lcl|NC_023151.1_cds_WP_004080786.1_84	915	739.976	7490	588.702
lcl|NC_023151.1_cds_WP_004080787.1_85	762	480.405	6535	791.169
lcl|NC_023151.1_cds_WP_004080789.1_86	1371	1158.94	13097	657.266
lcl|NC_023151.1_cds_WP_004080791.1_87	636	386.789	4002	601.775
lcl|NC_023151.1_cds_WP_081625175.1_88	1068	860.414	2015	136.207
lcl|NC_023151.1_cds_WP_004080795.1_89	1206	868.646	2964	198.457
lcl|NC_023151.1_cds_WP_004080797.1_90	1701	1475.74	10412	410.35
lcl|NC_023151.1_cds_WP_004080800.1_91	1056	892.742	8311	541.45
lcl|NC_023151.1_cds_WP_010865211.1_92	1260	993.887	9299	544.165
lcl|NC_023151.1_cds_WP_227738444.1_93	525	246.701	3426	807.697
lcl|NC_023151.1_cds_WP_004080806.1_94	1911	1662.32	20194	706.545
lcl|NC_023151.1_cds_WP_004080808.1_95	306	107.001	1463	795.22
